company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
Precision Landscaping,http://precisionlandscape-inc.com,Hastings,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,104.0,1981.0,Private,Out of trade - landscaping and outdoor construction,,,,,,S1/S2 (new 14 Aug),221557.0,"'Lawn care, irrigation, and outdoor installations' for residential and commercial clients in the Twin Cities; 104 staff, landscaping trade."
"Clark Computer Services, Inc",http://clarkcomputerservices.com,Frederick,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,19.0,2003.0,Private,IT services only,,,,,,S1/S2 (new 14 Aug),56135835.0,"""IT service provider"" offering ""help desk support, cybersecurity, and network management""; managed IT, no electrical field work."
Geotech Engineering and Testing,http://geotecheng.com,Houston,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,74.0,1985.0,Private,Out-of-scope trade: geotechnical and materials testing,,,,,,S1/S2 (new 14 Aug),696680.0,"""Geotechnical, construction materials, geoforensic, and environmental engineering"" testing across Texas; a testing firm, but not electrical testing."
"Louis Ptak Construction, Inc.",http://louisptak.com,Pacific Grove,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,43.0,1998.0,Private,General contractor; residential,,,,,,S1/S2 (new 14 Aug),1537086.0,"'Custom residences and commercial properties' general contracting, sub-contracting and finish carpentry in Pacific Grove; construction trade with a residential "
"Sterling ATM, Inc.",http://sterlingatm.com,Salt Lake City,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,67.0,2002.0,Private,Out-of-scope trade - ATM enclosures and signage,,,,,,S1/S2 (new 14 Aug),13061613.0,"Manufactures 'ATM enclosures and signage' - surrounds, canopies, kiosks - for banks and credit unions with installation; 67 staff; not electrical equipment"
"Paris Industrial Services, INC.",http://parisindustrial.com,Paris,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,8.0,1987.0,Private,Out of trade - pneumatic and hydraulic remanufacture for tire plants,,,,,,S1/S2 (new 14 Aug),10729750.0,"'Valves and cylinders' plus 'remanufacturing and training services for pneumatic and hydraulic systems' for tire plants; a fluid-power trade, eight staff."
Heavenly Sunshine Property Services,http://heavenlysunshine.com,Southaven,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,12.0,1977.0,Family Owned,Out of scope trade — cleaning services,,,,,,S1/S2 (new 14 Aug),455247.0,"""Cleaning and maintenance service company"" offering ""window cleaning, pressure washing, and maid services"" — janitorial, unrelated trade."
"Client Technology Services, LLC",http://client-tech.com,Baton Rouge,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,16.0,2003.0,Private,IT services only,,,,,,S1/S2 (new 14 Aug),1220755.0,"""IT services company"" doing ""hardware installation, networking, and managed services""; information technology, not electrical infrastructure."
WSKF Architects,http://wskfarch.com,North Kansas City,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,22.0,1968.0,Private,Out-of-thesis trade — architecture,,,,,,S1/S2 (new 14 Aug),1034906.0,"'Architecture firm' doing architectural design, interiors and master planning for public safety and education since 1968; 22 heads; no electrical engineering."
Production Contracting,http://productioncontracting.com,New York,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,5.0,1995.0,Family Owned,General construction; residential,,,,,,S1/S2 (new 14 Aug),4909052.0,"'Construction company specializing in commercial and residential projects... design-build, renovations, and project management'; general contracting, not electr"
Interior Technology Inc.,http://interior-tech.com,Seattle,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,40.0,1947.0,Private,Low-voltage and interior fit-out trades,,,,,,S1/S2 (new 14 Aug),697984.0,"""Specialty contractor"" doing ""fire safety, acoustics, space division, and security systems"" for ""architects, engineers, and building owners""; excluded trades."
"Catalyst Air Management, Inc.",http://catalystair.com,Knoxville,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Weak,8.0,1996.0,Private,Out-of-scope trade: air emissions testing,,,,,,S1/S2 (new 14 Aug),3796660.0,"""Process evaluation and air emissions testing"" for ""industrial and power generation clients""; environmental compliance testing, not electrical; 8 employees."
"Compliance Technology Group, Inc. “CTG, Inc”(West Chester,PA)",http://ctg-gmp.com,West Chester,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,35.0,1999.0,Private,"Out of trade - pharma validation, steam and HEPA certification",,,,,,S1/S2 (new 14 Aug),311400.0,"'Commissioning/validation, steam quality testing, and HEPA filter certification' for pharma and medical device clients; 35 staff - testing shape, wrong assets."
Pro Signs,http://prosign.net,Downingtown,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,88.0,1947.0,Family Owned,Out-of-scope trade - commercial signage,,,,,,S1/S2 (new 14 Aug),683165.0,"'Environmental branding and signage' design, manufacturing, installation and maintenance for healthcare, finance, retail; family owned 1947; 88 staff"
Farnum Insulators,http://farnuminsulators.com,East Dummerston,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,6.0,2004.0,Private,Out-of-scope trade: building insulation (largely residential),,,,,,S1/S2 (new 14 Aug),18710809.0,'Insulation contractor' doing 'spray foam and cellulose insulation' for homeowners and businesses; building envelope work despite the name; 6 employees.
"Innovative Construction of America, Inc.",http://iciofamerica.com,Tiverton,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,17.0,2005.0,Private,General contractor; residential,,,,,,S1/S2 (new 14 Aug),1165130.0,"'Residential, hospitality, and commercial construction' - new builds, renovations and insurance work in Rhode Island; general contracting, not electrical servic"
Rivertown Landscapes,http://rivertownlandscapes.com,Rockford,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,10.0,2003.0,Private,"Out of trade - landscaping, plus residential",,,,,,S1/S2 (new 14 Aug),727140.0,"""Landscape design, installation, and maintenance"" with hardscaping and ""outdoor lighting"" for residential and commercial clients; no electrical infrastructure w"
Gurlitz Architectural,http://gurlitzarchitects.com,Chapel Hill,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,7.0,1988.0,Private,"Out of trade - architecture, and the record names residential projects",,,,,,S1/S2 (new 14 Aug),12664158.0,"'Architectural design and planning' across commercial, institutional, healthcare and residential projects; architecture fees, no electrical engineering; seven s"
APi Signs,http://apisigns.com,Elk Grove Village,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,2.0,1976.0,Family Owned,Out of scope trade — commercial signage,,,,,,S1/S2 (new 14 Aug),12125940.0,"""Signage company"" providing ""design, manufacturing, and installation services"" nationwide — commercial signs, not traffic signals; 2 employees."
Ingenium Technologies,http://ingeniumtech.com,Rockford,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,52.0,2000.0,Private,Out-of-thesis trade — aerospace engineering services,,,,,,S1/S2 (new 14 Aug),691382.0,"'Aerospace engineering' design, analysis, testing and manufacturing for aviation, military and space since 2000; 52 heads; no infrastructure scope."
Precision Landscape & Irrigation LLC,http://plandscapes.com,Ottertail,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,21.0,2005.0,Private,Out-of-thesis trade: landscaping and irrigation,,,,,,S1/S2 (new 14 Aug),2769402.0,"""Landscape design, construction, and maintenance for residential and commercial clients"" in Minnesota; no electrical scope."
High Definition Logistics- Your logistics heroes.,http://highdefinitionlogistics.com,Southlake,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,14.0,2007.0,Private,Out-of-scope trade - logistics,,,,,,S1/S2 (new 14 Aug),3232133.0,"'Logistics company specializing in custom logistics solutions... storage, transportation, special handling'; not an electrical services business."
"E3R, Inc.",http://e3rinc.com,San Diego,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,59.0,2011.0,Private,Out-of-scope trade: defense SETA and program-management consulting,,,,,,S1/S2 (new 14 Aug),3759462.0,"""Science, Engineering, and Technical Assistance (SETA) and program management"" for ""the Department of Defense""; government services contractor, wrong trade."
Centex Material Handling,http://cmhandling.com,Leander,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Mixed,10.0,2011.0,Family Owned,Distribution/equipment resale - out of trade,,,,,,S1/S2 (new 14 Aug),467252.0,"""Distribution, installation, and maintenance of storage and material handling equipment"" with preventative maintenance and load testing - wrong assets."
"Servo Motors and Drives, Inc",http://servomd.com,Greenfield,,S7,2 Secondary,Nurture,Nurture (below floor),,Not verified,Mixed,Strong,Weak,10.0,1988.0,Private,,,,,,,S1/S2 (new 14 Aug),336518.0,"'Motor and electronic repairs for automation systems' direct to automotive and aerospace manufacturers over 30 years; repair-led, but 10 staff is below floor."
Neubert Aero Corp.,http://airportnac.com,Brooksville,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,2.0,1998.0,Private,Out-of-scope trade - airport safety equipment; 2 staff below floor,,,,,,S1/S2 (new 14 Aug),1156764.0,"'Barricades and closure markers' for airport authorities under FAA standards; 2 staff; airfield safety products, not electrical equipment"
iLine Soft,http://ilinesoft.com,Sugar Land,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,17.0,1985.0,Private,Out of trade - IT consulting and staffing,,,,,,S1/S2 (new 14 Aug),28897682.0,'IT consulting and staffing agency' supplying IT services and personnel; no electrical engineering deliverables and no field workforce.
"Superior Tank Co., Inc.",http://superiortank.com,Rancho Cucamonga,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,91.0,1984.0,Family Owned,Out-of-thesis trade — steel storage tank manufacturing,,,,,,S1/S2 (new 14 Aug),582791.0,"'Steel storage tank manufacturer' with 'engineering, manufacturing, installation, and maintenance' for water and oil storage since 1984; 91 heads."
SIGMA Sign Co.,http://sigmasignco.com,Lewisville,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,13.0,2004.0,Private,Out of trade - signage,,,,,,S1/S2 (new 14 Aug),13025506.0,"""Custom sign products and services, including manufacturing, installation, and repair"" for local North Texas businesses; sign shop, not electrical infrastructur"
Randy's Pro Landscaping & Tree Service,http://randyspro.com,Piscataway,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,2.0,2008.0,Private,Out of trade - landscaping and tree service,,,,,,S1/S2 (new 14 Aug),30535066.0,"""Tree removal, landscaping design, and maintenance"" for residential and commercial clients; 2 LinkedIn heads, no electrical work."
"Royal Water Damage Restoration - Water. Sewage, Mold and Asbestos Clean Up",http://royalwaterdamage.co,Willow Grove,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,25.0,2005.0,Private,Out of scope trade — restoration,,,,,,S1/S2 (new 14 Aug),3207194.0,"""Water damage remediation, sewage cleanup, mold removal"" with 24/7 emergency service for residential and commercial clients — restoration."
Bell Enterprise,http://bell-enterprise.com,San Bernardino,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,20.0,1994.0,Private,Pure product resale; telecom,,,,,,S1/S2 (new 14 Aug),12413040.0,"""Resale of new surplus, out-of-service, and used central office telecommunications equipment""; resale and telecom gates fire."
Nordic,http://nordicps.co.uk,,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,12.0,2014.0,Private,"Out-of-thesis trade: cleaning, coatings and training",,,,,,S1/S2 (new 14 Aug),3804165.0,"""Cleaning, coatings, and training services"" with ""graffiti removal"" and ""welding courses"" for local authorities; founded 2014, not electrical."
"Hughes Fire Equipment, Inc.",http://hughesfire.com,Springfield,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,58.0,1987.0,Family Owned,Product resale - equipment dealership,,,,,,S1/S2 (new 14 Aug),12692929.0,"'Fire apparatus dealership' providing 'fire trucks, ambulances, and maintenance services' to fire departments; dealership fires the resale gate."
Cakmak Painting,http://cakmakpainting.com,Atlanta,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,3.0,2002.0,Private,Out of trade (painting); residential,,,,,,S1/S2 (new 14 Aug),16779412.0,"""Residential and commercial painting services, including drywall repair and deck staining""; 3 employees, no electrical content."
Commercial Construction Services,http://ccsjacksonville.com,Jacksonville,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,37.0,2014.0,Private,General construction/renovation,,,,,,S1/S2 (new 14 Aug),1024949.0,"""Healthcare and commercial renovations"" plus commercial painting and facility maintenance; founded 2014, a general contractor not an electrical trade."
Coast Pump Water Technologies,http://coastpump.com,Venice,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,46.0,1976.0,Private,Pure distribution - water and pump products,,,,,,S1/S2 (new 14 Aug),813076.0,"'Water technology distributor' supplying treatment, irrigation and wastewater products to contractors and municipalities from Florida service centers; 46 staff."
"Exele Information Systems, Inc.",http://exele.com,East Rochester,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,17.0,1978.0,Private,Out-of-scope trade: software products and consulting,,,,,,S1/S2 (new 14 Aug),1342027.0,"""Software and consulting company"" selling ""TopView and DataGate"" for process control and environmental compliance; software vendor, no field workforce."
Cressy Door and Fireplace,http://cressydoor.com,Kent,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Mixed,26.0,1952.0,Family Owned,Out-of-scope trade: garage doors and fireplaces,,,,,,S1/S2 (new 14 Aug),1164701.0,"'Garage door and fireplace' installation, repair and maintenance for residential and commercial Pacific Northwest clients; not electrical infrastructure."
Endpoint Solutions Corp.,http://endpointcorporation.com,Franklin,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,22.0,2008.0,Private,"Out-of-scope trade - environmental, health and safety consulting",,,,,,S1/S2 (new 14 Aug),26022341.0,"'Environmental assessments, remediation, and compliance management' for municipalities and industrial facilities; 22 staff, 2008; EHS consulting, no electrical "
